URL,域名,注册日期,注册年限,注册商,分级,综合评分,PageRank,语言,目标国家/地区,标题,Meta描述,历史快照核对链接,Wayback时间线
https://www.igeeksblog.com,igeeksblog.com,2012-10-03,13.92,Launchpad.com Inc.,C,61.0,,英语,美国/英国/全球,有,无,https://web.archive.org/web/2005/igeeksblog.com,https://web.archive.org/web/*/igeeksblog.com
https://heebrand.com,heebrand.com,2016-01-02,10.67,"NameSilo, LLC",C,60.2,,英语,美国/英国/全球,有,无,https://web.archive.org/web/2005/heebrand.com,https://web.archive.org/web/*/heebrand.com
http://www.tipsybaker.com,tipsybaker.com,2010-09-29,15.93,"GoDaddy.com, LLC",C,60.2,,英语,美国、美国/加拿大/澳大利亚,有,无,https://web.archive.org/web/2005/tipsybaker.com,https://web.archive.org/web/*/tipsybaker.com
https://icubeswire.com/,icubeswire.com,2012-08-10,14.06,PDR Ltd. d/b/a PublicDomainRegistry.com,C,57.0,,英语,美国/英国/全球,有,有,https://web.archive.org/web/2005/icubeswire.com,https://web.archive.org/web/*/icubeswire.com
https://huong-digital-web.github.io/huongdigital/,huong-digital-web.github.io,2013-03-08,13.49,MarkMonitor Inc.,D,51.0,,英语,美国/英国/全球,有,无,https://web.archive.org/web/2005/huong-digital-web.github.io,https://web.archive.org/web/*/huong-digital-web.github.io
https://www.your.com,your.com,1998-07-22,28.12,Tucows Domains Inc.,D,45.0,,英语,美国/英国/全球,有,无,https://web.archive.org/web/2005/your.com,https://web.archive.org/web/*/your.com
https://www.diychatroom.com/,diychatroom.com,2003-08-07,23.07,GoDaddy Online Services Cayman Islands Ltd.,D,40.0,,英语,美国/英国/全球,无,无,https://web.archive.org/web/2005/diychatroom.com,https://web.archive.org/web/*/diychatroom.com
https://www.homesteadingtoday.com/,homesteadingtoday.com,2002-02-27,24.51,GoDaddy Online Services Cayman Islands Ltd.,D,40.0,,英语,美国/英国/全球,无,无,https://web.archive.org/web/2005/homesteadingtoday.com,https://web.archive.org/web/*/homesteadingtoday.com
https://www.editorialist.com,editorialist.com,1999-12-22,26.7,"GoDaddy.com, LLC",D,31.0,,英语,美国/英国/全球,无,无,https://web.archive.org/web/2005/editorialist.com,https://web.archive.org/web/*/editorialist.com
https://flexmg.com/,flexmg.com,2005-01-03,21.66,Tucows Domains Inc.,D,0,,英语,美国/英国/全球,无,无,https://web.archive.org/web/2005/flexmg.com,https://web.archive.org/web/*/flexmg.com
https://robybrown.com/home,robybrown.com,2008-07-14,18.14,"NameCheap, Inc.",D,0,,英语,美国/英国/全球,无,无,https://web.archive.org/web/2005/robybrown.com,https://web.archive.org/web/*/robybrown.com
https://css.com,css.com,1993-06-11,33.23,"Network Solutions, LLC",D,0,,英语,美国/英国/全球,无,无,https://web.archive.org/web/2005/css.com,https://web.archive.org/web/*/css.com
https://www.freestufffinder.com/,freestufffinder.com,2002-10-21,23.87,"NameCheap, Inc.",D,,,,,,,https://web.archive.org/web/2005/freestufffinder.com,https://web.archive.org/web/*/freestufffinder.com
https://wondertools.substack.com,wondertools.substack.com,2010-04-27,16.35,"Amazon Registrar, Inc.",C,,,,,,,https://web.archive.org/web/2005/wondertools.substack.com,https://web.archive.org/web/*/wondertools.substack.com
https://www.dailymail.com/home/index.html,dailymail.com,1996-02-20,30.54,Nom-iq Ltd. dba COM LAUDE,C,,,,,,,https://web.archive.org/web/2005/dailymail.com,https://web.archive.org/web/*/dailymail.com
https://caribbeanfinder.com/,caribbeanfinder.com,2000-09-25,25.94,"GoDaddy.com, LLC",D,,,,,,,https://web.archive.org/web/2005/caribbeanfinder.com,https://web.archive.org/web/*/caribbeanfinder.com
